"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          85,      -4.197241618,      -1.757567359,      -2.594639177,      0.3107320623,      -2.410520515,       3.808854297
          0,           0,          86,      -4.201520264,      -1.761672762,      -2.591514413,      0.3182399559,      -2.412767546,       3.793120305
          0,           0,          87,      -4.205993598,      -1.765687821,      -2.593230572,      0.3201897523,      -2.414824001,       3.779643516
          0,           0,          88,      -4.210603231,      -1.769651348,      -2.601935305,      0.3142512197,      -2.416693042,       3.769125683
          0,           0,          89,      -4.215254975,      -1.773609654,      -2.617820109,      0.3003350689,      -2.418369885,        3.76168323
          0,           0,          90,      -4.219839896,       -1.77758352,       -2.63941794,      0.2801031432,      -2.419820922,       3.756909023
          0,           0,          91,      -4.224261893,      -1.781558645,      -2.664073615,      0.2563830732,      -2.420985799,         3.7540039
          0,           0,          92,      -4.228461278,      -1.785499121,      -2.688672263,      0.2323556461,      -2.421798527,        3.75197303
          0,           0,          93,      -4.232424974,      -1.789370289,      -2.710614194,      0.2105575943,      -2.422209986,       3.749839339
          0,           0,          94,      -4.236181618,      -1.793155687,      -2.728685402,      0.1921156671,      -2.422200657,       3.746809686
          0,           0,          95,      -4.239786581,      -1.796860454,      -2.743273087,      0.1767225413,       -2.42177906,       3.742366765
          0,           0,          96,      -4.243304174,      -1.800503221,       -2.75579963,      0.1633343468,      -2.420970374,       3.736294886
          0,           0,          97,      -4.246792914,      -1.804104159,      -2.767873593,      0.1510018316,      -2.419802164,       3.728659194
          0,           0,          98,       -4.25029656,      -1.807676522,        -2.7807081,      0.1393108968,       -2.41829324,       3.719755653
          0,           0,          99,      -4.253840838,      -1.811224757,      -2.794954554,      0.1283370452,      -2.416451485,       3.710042195
          0,           0,         100,      -4.257434256,      -1.814747781,      -2.810802194,      0.1183103403,       -2.41427767,       3.700055511
          0,           0,         101,      -4.261071237,      -1.818243743,      -2.828152076,      0.1092626595,      -2.411772079,       3.690319508
          0,           0,         102,      -4.264736199,      -1.821713028,      -2.846750531,      0.1008662518,      -2.408937803,       3.681259686
          0,           0,         103,      -4.268407735,      -1.825158334,       -2.86624974,     0.09252031974,      -2.405780867,       3.673141806
          0,           0,         104,      -4.272062489,       -1.82858272,      -2.886214531,     0.08359054011,      -2.402308124,       3.666047142
          0,           0,         105,      -4.275678554,      -1.831987407,      -2.906113406,     0.07365344387,      -2.398526244,       3.659885394
          0,           0,         106,       -4.27923827,      -1.835370805,      -2.925328134,     0.06264457826,      -2.394442308,       3.654437075
          0,           0,         107,       -4.28273024,      -1.838729155,      -2.943201956,     0.05088111141,      -2.390064777,       3.649411986
          0,           0,         108,      -4.286150298,       -1.84205821,      -2.959129669,     0.03897339619,      -2.385404349,       3.644509501
          0,           0,         109,      -4.289501332,      -1.845354955,      -2.972676551,      0.0276572545,      -2.380473911,        3.63946929
          0,           0,         110,      -4.292791993,      -1.848618559,      -2.983696901,     0.01759137416,      -2.375287457,       3.634105825
          0,           0,         111,      -4.296034621,        -1.8518503,      -2.992410903,    0.009178563837,      -2.369859622,       3.628324635
          0,           0,         112,      -4.299242802,      -1.855052712,      -2.999402271,    0.002469698746,      -2.364205921,       3.622121597
          0,           0,         113,      -4.302429043,      -1.858228479,       -3.00552581,   -0.002820041153,      -2.358342745,       3.615568645
          0,           0,         114,      -4.305602941,      -1.861379563,      -3.011751149,   -0.007201918791,      -2.352287086,       3.608790207
          0,           0,         115,      -4.308770113,      -1.864506821,      -3.018991383,    -0.01126457783,      -2.346056123,       3.601935138
          0,           0,         116,      -4.311931945,      -1.867610114,      -3.027960652,    -0.01554063463,      -2.339666518,       3.595149001
          0,           0,         117,      -4.315086096,      -1.870688719,      -3.039083506,    -0.02042025287,      -2.333133577,        3.58855098
          0,           0,         118,       -4.31822754,      -1.873741801,       -3.05245916,    -0.02611688834,      -2.326471304,       3.582218587
          0,           0,         119,      -4.321349897,      -1.876768774,      -3.067875459,     -0.0326751691,      -2.319692825,        3.57618171
          0,           0,         120,      -4.324446765,      -1.879769463,      -3.084867988,    -0.04000623887,      -2.312810639,       3.570425539
          0,           0,         121,      -4.327512844,      -1.882744078,      -3.102820507,    -0.04793683523,      -2.305836643,       3.564900353
          0,           0,         122,       -4.33054468,      -1.885693073,      -3.121096537,    -0.05626033115,      -2.298782169,       3.559535188
          0,           0,         123,      -4.333540958,      -1.888616991,      -3.139177694,    -0.06477893213,      -2.291657861,       3.554252359
          0,           0,         124,      -4.336502389,      -1.891516333,      -3.156771092,    -0.07332992448,      -2.284473432,       3.548980202
          0,           0,         125,      -4.339431261,      -1.894391493,      -3.173850287,    -0.08179382459,      -2.277237792,        3.54366265
          0,           0,         126,      -4.342330824,      -1.897242748,      -3.190617067,    -0.09008645794,        -2.2699595,       3.538264317
          0,           0,         127,       -4.34520464,       -1.90007028,      -3.207402313,    -0.09814281438,      -2.262647099,       3.532771665
          0,           0,         128,      -4.348056024,      -1.902874205,      -3.224543977,     -0.1059018632,      -2.255309235,        3.52719078
          0,           0,         129,      -4.350887669,      -1.905654604,      -3.242278554,     -0.1132997014,      -2.247954674,       3.521542789
          0,           0,         130,      -4.353701455,      -1.908411542,      -3.260667382,     -0.1202736071,      -2.240592262,       3.515858164
          0,           0,         131,      -4.356498437,      -1.911145088,      -3.279564019,     -0.1267749221,      -2.233230763,       3.510170948
          0,           0,         132,      -4.359278958,      -1.913855328,      -3.298621665,     -0.1327841762,      -2.225878633,       3.504513592
          0,           0,         133,      -4.362042814,      -1.916542383,       -3.31733824,     -0.1383201482,       -2.21854392,       3.498913187
          0,           0,         134,      -4.364789443,      -1.919206401,      -3.335135694,     -0.1434385323,      -2.211234537,       3.493389237
          0,           0,         135,      -4.367518087,      -1.921847546,      -3.351465296,     -0.1482207939,      -2.203958188,       3.487952572
          0,           0,         136,      -4.370227918,      -1.924465959,      -3.365920277,     -0.1527556328,       -2.19672234,       3.482605932
          0,           0,         137,      -4.372918142,      -1.927061721,      -3.378326017,     -0.1571216475,      -2.189534126,       3.477345258
          0,           0,         138,      -4.375588074,      -1.929634805,      -3.388779429,      -0.161375769,      -2.182400403,       3.472161278
          0,           0,         139,      -4.378237192,      -1.932185059,      -3.397624207,     -0.1655498715,      -2.175327565,       3.467041486
          0,           0,         140,      -4.380865181,      -1.934712211,      -3.405372603,     -0.1696552433,      -2.168321674,        3.46197193
          0,           0,         141,      -4.383471951,       -1.93721591,      -3.412602586,     -0.1736910208,      -2.161388188,       3.456939025
          0,           0,         142,      -4.386057643,      -1.939695767,      -3.419860841,     -0.1776535248,      -2.154531981,       3.451930578
          0,           0,         143,      -4.388622583,      -1.942151413,      -3.427592126,     -0.1815422219,      -2.147757338,       3.446936986
          0,           0,         144,      -4.391167242,      -1.944582541,      -3.436101041,     -0.1853631602,      -2.141067809,       3.441951646
          0,           0,         145,      -4.393692167,      -1.946988932,      -3.445543986,     -0.1891283704,      -2.134466602,       3.436971237
